"Event","District","Nature","How_Received","Date","Time","Force_Level","Suspect_Condition","Suspect_Armed","Suspect_Injured","Suspect_Role","Officer_Injured","Officer_Exposed_to_BBP","Suspect_Gender","Suspect_Age","Suspect_Race"
"B16-08424","1.0","Disturbance","911.0","2016-03-05T00:00:00","03:20:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","27","Black"
"B16-08857","5.0","Trespass","911.0","2016-03-08T00:00:00","06:56:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Female","37","White"
"B16-09294","5.0","Weapons","911.0","2016-03-10T00:00:00","21:25:00","1","Normal","YES","NO","Involved","NO","NO","Male","43","White"
"B16-09489","1.0","Service","911.0","2016-03-12T00:00:00","03:42:00","1","Unknown","NO","NO","Arrestee","NO","YES","Male","39","White"
"B16-09562","2.0","Disturbance","Telephone","2016-03-12T00:00:00","16:59:00","1","Intoxicated","NO","NO","Arrestee","YES","YES","Male","30","Black"
"B16-09618","2.0","Fight","911.0","2016-03-13T00:00:00","00:39:00","1","Intoxicated","NO","NO","Witness","NO","NO","Male","41","White"
"B16-09618","2.0","Fight","911.0","2016-03-13T00:00:00","00:39:00","1","Intoxicated","YES","NO","Arrestee","NO","NO","Male","24","White"
"B16-09943","5.0","Welfare Check","Telephone","2016-03-15T00:00:00","18:05:00","1","Intoxicated","NO","NO","Involved","NO","NO","Male","45","White"
"B16-10225","1.0","Suspicious Activity","Officer Report","2016-03-18T00:00:00","03:25:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","32","Black"
"B16-10369","5.0","Welfare Check","Telephone","2016-03-20T00:00:00","02:44:00","1","Intoxicated","YES","NO","Suspect","NO","NO","Male","33","White"
"B16-10536","4.0","Robbery","911.0","2016-03-20T00:00:00","16:00:00","1","Normal","YES","NO","Arrestee","NO","NO","Female","25","White"
"B16-10688","3.0","Suspicious Activity","911.0","2016-03-21T00:00:00","19:40:00","1","Intoxicated/Mentally Disturbed","NO","NO","Arrestee","NO","NO","Male","27","White"
"B16-10875","4.0","Burglary","Telephone","2016-03-23T00:00:00","12:18:00","1","Normal","NO","YES","Arrestee","NO","NO","Male","34","White"
"B16-09855","3.0","Service","911.0","2016-03-27T00:00:00","03:27:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","21","White"
"B16-11478","MCSO","Follow Up","Officer Report","2016-03-27T00:00:00","03:06:00","1","Normal","NO","NO","Mentioned","NO","NO","Male","16","White"
"B16-11533","3.0","Weapons","911.0","2016-03-28T00:00:00","18:06:00","1","Normal","YES","NO","Arrestee/Suspect","NO","NO","Male","48","Black"
"B16-11902","1.0","Welfare Check","911.0","2016-03-30T00:00:00","18:09:00","1","Normal","NO","NO","Arrestee","NO","NO","Female","29","Black"
"B17-12043","1","DRUNK","TELEPHONE","4/1/2017","8:31","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","55","White"
"B17-12028","5","BURGLARY IP","911","4/1/2017","2:04","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","19","White"
"B17-12212","4","WELFARE CHK","TELEPHONE","4/2/2017","19:39","1","NORMAL","NO","NO","MENTIONED","NO","NO","Male","33","White"
"B17-12410","1","TRESPASS ","TELEPHONE","4/4/2017","8:30","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","27","White"
"B17-12539","3","DOMESTIC IP","TELEPHONE","4/5/2017","2:17","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","22","White"
"B17-12613","4","ROBBERY IP","TELEPHONE","4/5/2017","17:46","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Male","25","Native American"
"B17-13182","4","WARRANT SERVICE","OFFICER REPORT","4/9/2017","21:13","1","INTOXICATED","NO","YES","ARRESTEE","NO","NO","Male","29","White"
"B17-13208","5","SUSP ACT","911 LINE","4/10/2017","21:25","2","INTOXICATED","NO","YES","ARRESTEE","NO","YES","Male","22","White"
"B17-13235","5","FIGHT ","911 LINE","4/10/2017","17:20","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Male","19","White"
"B17-13353","4","TRAFFIC STOP","OFFICER REPORT","4/10/2017","20:49","1","NORMAL","YES","NO","SUSPECT","NO","NO","Male","18","White"
"B17-13681","5","DOMESTIC ","911 LINE","4/12/2017","20:57","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","29","White"
"B17-13642","5","FRAUD","WALK-IN ","4/13/2017","19:13","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","30","Black"
"B17-13866","MCSO","TRAFFIC STOP","OFFICER REPORT","4/14/2017","4:30","1","NORMAL","NO","NO","JUVENILE REFERRAL","NO","NO","Male","15","White"
"B17-14165","2","DRUNK","TELEPHONE","4/16/2017","3:20","1","INTOXICATED","NO","YES","ARRESTEE","YES","NO","Female","21","White"
"B17-14168","1","DISTURBANCE","OFFICER REPORT","4/16/2017","3:17","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Female","22","Black"
"B17-14168","1","DISTURBANCE","OFFICER REPORT","4/16/2017","3:17","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Female","21","White"
"B17-14279","5","WARRANT SERVICE","OFFICER REPORT","4/17/2017","7:26","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","28","White"
"B17-14350","4","DISTURBANCE IP","911","4/17/2017","15:43","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","54","Black"
"B17-14353","1","WEAPONS IP","TELEPHONE","4/17/2017","16:14","1","MENTALLY DISTURBED","YES","YES","INVOLVED","NO","NO","Male","21","White"
"B17-15162","5","ACCIDENT LSA IP","OFFICER REPORT","4/21/2017","23:34","1","INTOXICATED","NO","YES","ARRESTEE","NO","NO","Male","22","Black"
"B17-15210","2","BURGLARY IP","TELEPHONE","4/22/2017","2:30","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","20","White"
"B17-15240","3","BURGLARY IP","911","4/22/2017","4:36","2","INTOXICATED","NO","YES","ARRESTEE","NO","NO","Male","22","White"
"B17-15850","5","WELFARE CHK ","911 LINE","4/25/2017","13:01","1","MENTALLY DISTURBED","NO","NO","ARRESTEE","YES","YES","Female","31","Black"
"B17-15893","4","THEFT IP","OFFICER REPORT","4/25/2017","17:06","1","NORMAL","NO","NO","ARRESTEE","NO","YES","Male","47","White"
"B17-16070","1","WELFARE CHECK IP","TELEPHONE","4/26/2017","17:44","1","INTOXICATED ","NO","NO","ARRESTEE","NO","NO","Female","23","White"
"B17-16374","4","SERVICE IP","TELEPHONE","4/28/2017","22:30","1","UNKNOWN","NO","NO","SUSPECT","NO","NO","Male","40","White"
"B17-17216","5","DISTURBANCE","TELEPHONE","5/4/2017","17:47","1","MENTALLY DISTURBED","NO","YES","ARRESTEE","NO","NO","Male","25","White"
"B17-17868","3","SUSP ACT IP","911","5/9/2017","1:44","1","NORMAL","NO","NO","ARRESTEE","NO","YES","Male","42","White"
"B17-17995","5","FOLLOW UP ","TELEPHONE","5/9/2017","22:59","1","UNKNOWN","YES","NO","CAD","NO","NO","Male","19","White"
"B17-18403","5","WELFARE CHK","911 LINE","5/12/2017","16:02","1","UNKNOWN","NO","NO","MENTIONED","NO","NO","Male","30","White"
"B17-19215","2","VEH THEFT NP ","TELEPHONE","5/18/2017","12:05","2","NORMAL","YES","YES","ARRESTEE","NO","NO","Male","23","White"
"B17-19316","3","WARRANT SERVICE","TELEPHONE","5/18/2017","23:54","1","NORMAL","NO","NO","MENTIONED ","NO","NO","Female","18","White"
"B17-19316","3","WARRANT SERVICE","TELEPHONE","5/18/2017","23:54","1","NORMAL","NO","NO","SUSPECT","NO","NO","Female","18","White"
"B17-19316","3","WARRANT SERVICE","TELEPHONE","5/18/2017","23:54","1","NORMAL","NO","NO","MENTIONED","NO","NO","Male","19","Black"
"B17-19316","3","WARRANT SERVICE","TELEPHONE","5/18/2017","23:54","1","NORMAL","NO","NO","MENTIONED","NO","NO","Female","20","White"
"B17-19316","3","WARRANT SERVICE","TELEPHONE","5/18/2017","23:54","1","NORMAL","NO","NO","SUSPECT","NO","NO","Female","20","Hispanic"
"B17-19316","3","WARRANT SERVICE","TELEPHONE","5/18/2017","23:54","1","NORMAL","NO","NO","SUSPECT","NO","NO","Male","26","Black"
"B17-19328","5","BURGLARY IP","911","5/19/2017","2:58","1","NORMAL","YES","NO","MENTIONED","NO","NO","Male","37","White"
"B17-19328","5","BURGLARY IP","911","5/19/2017","2:58","1","UNKNOWN","NO","NO","ARRESTEE","NO","NO","Male","29","White"
"B17-19332","4","MENTAL HEALTH","911","5/19/2017","3:46","1","MENTALLY DISTURBED","YES","NO","INVOLVED","NO","NO","Male","27","White"
"B17-19854","1","WEAPONS IP","TELEPHONE","5/22/2017","21:15","1","MENTALLY DISTURBED","YES","NO","ARRESTEE","NO","NO","Male","25","Black"
"B17-19866","3","BURGLARY ","TELEPHONE","5/22/2017","20:19","1","UNKNOWN","NO","NO","ARRESTEE","NO","NO","Male","39","White"
"B17-19975","5","ACCIDENT LSA IP","911 LINE","5/23/2017","16:04","1","INTOXICATED","NO","YES","ARRESTEE","NO","YES","Male","69","White"
"B17-20019","5","WELFARE CHECK IP","911","5/23/2017","22:08","1","MENTALLY DISTURBED","NO","NO","INVOLVED","NO","NO","Female","39","White"
"B17-20268","MCSO","WARRANT SERVICE","OFFICER REPORT","5/25/2017","19:15","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Female","37","White"
"B17-20378","1","WELFARE CHK IP ","OFFICER REPORT","5/26/2017","11:22","2","MENTALLY DISTURBED","NO","NO","ARRESTEE","NO","NO","Male","56","Black"
"B17-20338","1","SUSP ACT IP","911","5/26/2017","5:02","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","21","Hispanic"
"B17-20530","3","SUSP ACT IP","911 LINE","5/27/2017","13:12","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","35","White"
"B17-20666","5","WEAPONS IP ","TELEPHONE","5/28/2017","13:44","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Male","18","Black"
"B17-20666","5","WEAPONS IP","TELEPHONE","5/28/2017","13:44","1","NORMAL","YES","NO","MENTIONED","NO","NO","Male","19","Black"
"B17-20925","1","DISTURBANCE","TELEPHONE","5/30/2017","17:20","1","INTOXICATED","YES","NO","ARRESTEE","NO","NO","Male","30","White"
"B17-20961","2","WARRANT SERVICE","TELEPHONE","5/30/2017","22:10","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","26","White"
"B17-20961","2","WARRANT SERVICE","TELEPHONE","5/30/2017","22:10","1","NORMAL","NO","NO","MENTIONED","NO","NO","Male","22","White"
"B17-20961","2","WARRANT SERVICE","TELEPHONE","5/30/2017","22:10","1","NORMAL","NO","NO","MENTIONED","NO","NO","Male","24","White"
"B17-20961","2","WARRANT SERVICE","TELEPHONE","5/30/2017","22:10","1","NORMAL","NO","NO","MENTIONED","NO","NO","Female","22","White"
"B17-20961","2","WARRANT SERVICE","TELEPHONE","5/30/2017","22:10","1","NORMAL","NO","NO","MENTIONED","NO","NO","Male","23","White"
"B17-20961","2","WARRANT SERVICE","TELEPHONE","5/30/2017","22:10","1","NORMAL","NO","NO","MENTIONED","NO","NO","Female","20","White"
"B17-21384","4","WELFARE CHK ","911 LINE ","6/2/2017","16:47","1","INTOXICATED ","NO","YES","ARRESTEE","NO","NO","Male","35","White"
"B17-21493","5","WARRANT SERVICE","911 LINE","6/3/2017","12:22","2","UNKNOWN","NO","YES","ARRESTEE","YES","NO","Female","29","Black"
"B17-21529","2","WEAPONS IP ","TELEPHONE","6/3/2017","18:14","1","NORMAL ","YES","NO","MENTIONED","NO","NO","Female","21","White"
"B17-21577","5","DISTURBANCE IP","TELEPHONE","6/4/2017","1:02","1","INTOXICATED","NO","NO","ARRESTEE","YES","NO","Male","42","Black"
"B17-21666","2","BURGLARY IP","TELEPHONE","6/4/2017","23:00","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Female","30","White"
"B17-21666","2","BURGLARY IP","TELEPHONE","6/4/2017","23:00","1","NORMAL","NO","NO","SUSPECT","NO","NO","Male","30","White"
"B17-21666","2","BURGLARY IP","TELEPHONE","6/4/2017","23:00","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","31","White"
"B17-21949","3","SERVICE IP","TELEPHONE","6/7/2017","0:04","1","NORMAL","NO","NO","SUSPECT","NO","NO","Male","51","White"
"B17-22234","3","SERVICE IP","911","6/8/2017","22:29","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","47","White"
"B17-22468","5","DOMESTIC IP","911","6/10/2017","17:19","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","37","Black"
"B17-22575","1","SUSP ACT IP ","TELEPHONE","6/11/2017","11:01","1","INTOXICATED ","NO","NO","ARRESTEE","NO","NO","Male","27","Black"
"B17-22790","4","MENTAL HEALTH","TELEPHONE","6/12/2017","20:13","1","MENTALLY DISTURBED","NO","YES","MENTIONED ","NO","NO","Male","22","White"
"B17-22941","5","WEAPONS ","911 LINE","6/13/2017","19:11","1","MENTALLY DISTURBED","YES","NO","ARRESTEE","NO","NO","Female","38","White"
"B17-23902","5","RUNAWAY","TELEPHONE","6/19/2017","18:00","1","INTOXICATED","NO","YES","JUVENILE REFERRAL","NO","NO","Male","15","White"
"B17-23945","5","WEAPONS IP ","911 LINE ","6/20/2017","1:26","1","NORMAL ","YES","NO","ARRESTEE","NO","NO","Female","15","White"
"B17-23980","5","WELFARE CHECK IP","911 LINE","6/20/2017","10:03","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Male","32","Black"
"B17-24067","5","WELFARE CHECK IP","911","6/20/2017","18:39","1","MENTALLY DISTURBED","NO","NO","INVOLVED","NO","NO","Female","31","White"
"B17-24602","5","FIGHT ","911 LINE ","6/23/2017","23:07","1","INTOXICATED ","NO","NO","ARRESTEE  ","NO","NO","Male","29","White"
"B17-24604","3","DISTURBANCE","911 LINE","6/23/2017","23:26","1","MENTALLY DISTURBED","NO","NO","MENTIONED ","NO","NO","Male","25","White"
"B17-24622","4","FOLLOW UP ","TELEPHONE","6/24/2017","2:06","3","INTOXICATED ","NO","NO","ARRESTEE","NO","NO","Male","23","White"
"B17-24946","MCSO","SERVICE IP","TELEPHONE","6/26/2017","8:35","1","NORMAL","YES","YES","ARRESTEE","NO","NO","Male","26","White"
"B17-25986","5","SUSP ACT IP","911 LINE","7/2/2017","1:17","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","34","White"
"B17-26003","1","DISTURBANCE","911 LINE","7/2/2017","3:56","1","MENTALLY DISTURBED","NO","NO","ARRESTEE","NO","NO","Male","36","Black"
"B17-26243","4","THEFT IP","911 LINE","7/3/2017","20:54","1","MENTALLY DISTURBED","NO","NO","ARRESTEE","NO","NO","Male","43","White"
"B17-26316","4","WELFARE CHECK IP ","911 LINE ","7/4/2017","10:37","1","INTOXICATED ","NO","NO","ARRESTEE","NO","NO","Male","23","White"
"B17-26320","4","WELFARE CHECK IP","911 LINE","7/4/2017","11:07","1","INTOXICATED ","NO","NO","ARRESTEE","NO","NO","Male","48","White"
"B17-26432","4","SUSP ACT IP","911 LINE","7/5/2017","0:43","1","INTOXICATED","NO","YES","ARRESTEE","NO","NO","Male","27","White"
"B17-26785","2","THEFT IP ","TELEPHONE ","7/7/2017","7:35","1","MENTALLY DISTURBED","NO","NO","ARRESTEE","NO","NO","Female","14","Black"
"B17-26832","4","SERVICE IP","TELEPHONE","7/7/2017","14:11","1","NORMAL","NO","NO","INVOLVED","NO","NO","Male","44","White"
"B17-27818","1","TRESPASS ","OFFICER REPORT","7/13/2017","15:16","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","50","White"
"B17-27905","1","WELFARE CHK ","TELEPHONE","7/13/2017","23:28","1","INTOXICATED","NO","YES","ARRESTEE","NO","NO","Male","24","Asian/Pacific Islander"
"B17-27997","4","TRESPASS ","TELEPHONE","7/14/2017","16:25","1","NORMAL","NO","NO","CAD","NO","NO","Female","21","White"
"B17-27997","4","TRESPASS ","TELEPHONE","7/14/2017","16:25","1","NORMAL","NO","NO","CAD","NO","NO","Male","31","Black"
"B17-28182","1","SUSP ACT","TELEPHONE","7/15/2017","21:16","1","INTOXICATED","NO","NO","ARRESTEE","YES","NO","Male","35","White"
"B17-28215","1","FIGHT","911 LINE","7/16/2017","3:02","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","22","Black"
"B17-28446","MCSO","SERVICE","TELEPHONE","7/17/2017","22:35","1","UNKNOWN","NO","NO","ARRESTEE","NO","NO","Male","28","White"
"B17-28452","5","ROV IP","TELEPHONE","7/17/2017","23:06","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","24","Black"
"B17-29029","1","VANDALISM","OFFICER REPORT","7/21/2017","18:47","1","MENTALLY DISTURBED","NO","YES","ARRESTEE","NO","NO","Male","43","White"
"B17-29226","5","DISTURBANCE","911 LINE","7/23/2017","0:38","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","28","White"
"B17-29409","5","SERVICE ","TELEPHONE","7/24/2017","15:46","1","NORMAL","NO","NO","CONTACT","NO","NO","Female","28","White"
"B17-29606","4","DOMESTIC IP","911 LINE","7/25/2017","20:41","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Female","22","White"
"B17-30111","1","TRESPASS ","TELEPHONE","7/28/2017","23:12","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","37","Black"
"B17-30650","4","THEFT IP","TELEPHONE","8/1/2017","14:29","1","NORMAL","NO","NO","JUVENILE REFERRAL","NO","NO","Male","18","White"
"B17-30869","3","DOMESTIC","911 LINE","8/2/2017","21:48","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","53","White"
"B17-31062","4","WELFARE CHK IP ","911 LINE","8/4/2017","3:39","1","UNKNOWN","YES","NO","ARRESTEE","NO","YES","Male","36","White"
"B17-31215","5","WEAPONS IP","911 LINE","8/5/2017","7:45","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Male","32","White"
"B17-31575","MCSO","SUSP ACT IP","OFFICER REPORT","8/8/2017","2:10","1","NORMAL","NO","NO","MENTIONED","NO","NO","Male","61","White"
"B17-31575","MCSO","SUSP ACT IP","OFFICER REPORT","8/8/2017","2:10","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Female","34","White"
"B17-31575","MCSO","SUSP ACT IP","OFFICER REPORT","8/8/2017","2:10","1","NORMAL","NO","NO","MENTIONED","NO","NO","Female","30","White"
"B17-31857","4","SERVICE","OFFICER REPORT","8/9/2017","21:00","1","NORMAL","YES","NO","MENTIONED","NO","NO","Male","28","Black"
"B17-31857","4","SERVICE","OFFICER REPORT","8/9/2017","21:00","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Male","27","Black"
"B17-31971","3","SUSP ACT IP","TELEPHONE","8/10/2017","13:49","1","INTOXICATED","YES","YES","ARRESTEE","NO","YES","Male","59","White"
"B17-32076","2","THEFT IP ","911 LINE","8/11/2017","4:12","1","NORMAL","NO","NO","MENTIONED","NO","NO","Male","16","White"
"B17-32181","4","TRESPASS ","OFFICER REPORT","8/11/2017","19:17","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","37","Black"
"B17-32588","1","RECOVERED","TELEPHONE","8/14/2017","14:25","2","UNKNOWN","NO","NO","ARRESTEE","YES","NO","Male","24","White"
"B17-32898","4","VEH THEFT NP ","TELEPHONE","8/16/2017","12:29","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","24","White"
"B17-32971","3","SUSP ACT IP","TELEPHONE","8/16/2017","22:21","1","UNKNOWN ","NO","NO","ARRESTEE","NO","NO","Male","28","White"
"B17-33004","IU","WELFARE CHK IP ","911 LINE","8/17/2017","2:59","1","INTOXICATED","NO","NO","INVOLVED","NO","NO","Male","21","White"
"B17-33483","1","DISTURBANCE ","TELEPHONE","8/19/2017","19:23","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","53","Black"
"B17-33702","3","WEAPONS","TELEPHONE","8/21/2017","7:43","2","NORMAL","YES","NO","SUSPECT","NO","NO","Male","17","Black"
"B17-35154","3","WARRANT SERVICE","TELEPHONE","8/29/2017","21:17","2","NORMAL","NO","YES","ARRESTEE","NO","YES","Male","20","White"
"B17-35294","4","WARRANT SERVICE","OFFICER REPORT","8/30/2017","17:22","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","40","White"
"B17-35339","5","ROBBERY","TELEPHONE","8/31/2017","2:08","1","NORMAL","YES","NO","SUSPECT","NO","NO","Female","27","White"
"B17-35514","1","DRUNK","OFFICER REPORT","9/1/2017","1:33","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","21","White"
"B17-35688","2","WELFARE CHK IP ","911 LINE","9/2/2017","4:38","1","INTOXICATED","NO","YES","ARRESTEE","NO","NO","Male","20","Black"
"B17-35802","4","BURGLARY IP","911 LINE","9/2/2017","22:10","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","47","White"
"B17-35827","1","DRUNK","OFFICER REPORT","9/3/2017","1:14","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","20","White"
"B17-35985","1","FIGHT IP","911 LINE","9/4/2017","1:58","1","INTOXICATED","NO","YES","ARRESTEE","YES","NO","Male","22","Black"
"B17-36054","4","DISTURBANCE","TELEPHONE","9/4/2017","16:06","1","INTOXICATED","NO","NO","ARRESTEE","NO","YES","Male","40","White"
"B17-36447","5","ROBBERY NP","TELEPHONE","9/6/2017","20:36","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","20","Black"
"B17-36447","5","ROBBERY NP","TELEPHONE","9/6/2017","20:36","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Female","17","Black"
"B17-36447","5","ROBBERY NP","TELEPHONE","9/6/2017","20:36","1","NORMAL","NO","NO","MENTIONED","NO","NO","Female","53","Black"
"B17-36455","2","WELFARE CHK IP ","TELEPHONE","9/6/2017","21:57","1","INTOXICATED","YES","NO","INVOLVED","NO","NO","Male","28","White"
"B17-36716","5","RUNAWAY","911 LINE","9/8/2017","18:05","1","MENTALLY DISTURBED","NO","NO","INVOLVED","NO","NO","Male","10","White"
"B17-37203","3","DOMESTIC IP","911 LINE","9/11/2017","13:12","1","NORMAL","NO","YES","ARRESTEE ","YES","YES","Male","40","White"
"B17-37692","4","DISTURBANCE ","TELEPHONE","9/14/2017","10:01","1","MENTALLY DISTURBED","NO","NO","MENTIONED","NO","NO","Female","43","White"
"B17-37756","4","DISTURBANCE","TELEPHONE","9/14/2017","17:44","1","INTOXICATED","NO","NO","ARRESTEE ","NO","YES","Female","27","White"
"B17-38100","3","INDECENT EXP IP","911 LINE","9/16/2017","19:20","1","MENTALLY DISTURBED","NO","NO","ARRESTEE","NO","NO","Male","24","White"
"B17-38134","4","DISTURBANCE IP","TELEPHONE","9/16/2017","23:43","1","INTOXICATED","YES","NO","ARRESTEE","NO","NO","Male","44","White"
"B17-38325","3","THEFT NP","TELEPHONE","9/18/2017","13:20","1","NORMAL","NO","NO","ARRESTEE ","YES","NO","Male","18","Black"
"B17-38419","4","VEH THEFT NP ","TELEPHONE","9/19/2017","1:20","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","18","White"
"B17-38551","4","ATL","911 LINE","9/19/2017","22:07","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","55","Black"
"B17-39362","3","SUSP ACT IP","TELEPHONE","9/24/2017","18:50","1","INTOXICATED","NO","NO","ARRESTEE ","NO","NO","Male","45","White"
"B17-39409","1","SUSP ACT IP ","OFFICER REPORT","9/25/2017","1:27","2","NORMAL","YES","YES","ARRESTEE","NO","NO","Male","25","White"
"B17-39409","1","SUSP ACT IP ","OFFICER REPORT","9/25/2017","1:27","1","UNKNOWN","NO","NO","ARRESTEE","NO","NO","Female","38","White"
"B17-40162","2","DOMESTIC IP","911 LINE","9/29/2017","21:44","1","NORMAL","NO","YES","ARRESTEE","NO","NO","Female","20","Hispanic"
"B17-40162","2","DOMESTIC IP","911 LINE","9/29/2017","21:44","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","22","Hispanic"
"B17-40374","5","WEAPONS IP","TELEPHONE","10/1/2017","10:15","1","NORMAL","NO","NO","SUSPECT","NO","NO","Male","32","White"
"B17-40466","5","TRAFFIC STOP","OFFICER REPORT","10/2/2017","1:36","1","NORMAL","NO","NO","JUVENILE REFERRAL","NO","NO","Male","17","Black"
"B17-40735","4","DOMESTIC IP","TELEPHONE","10/4/2017","0:08","2","INTOXICATED","YES","YES","ARRESTEE","NO","NO","Male","31","White"
"B17-40749","1","DRUNK","TELEPHONE","10/4/2017","3:51","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","21","White"
"B17-40823","3","DISTURBANCE","TELEPHONE","10/4/2017","15:50","1","MENTALLY DISTURBED","NO","NO","SUSPECT","NO","NO","Male","56","White"
"B17-40921","1","DISTURBANCE","TELEPHONE","10/5/2017","4:24","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","23","Hispanic"
"B17-40951","1","TRESPASS","TELEPHONE","10/5/2017","13:39","1","INTOXICATED","YES","YES","ARRESTEE","NO","NO","Male","59","White"
"B17-41142","2","DOMESTIC IP","TELEPHONE","10/6/2017","21:22","1","NORMAL","NO","NO","ARRESTEE","YES","NO","Male","24","Black"
"B17-41156","4","DOMESTIC IP","TELEPHONE","10/6/2017","23:16","2","MENTALLY DISTURBED","YES","YES","ARRESTEE","NO","NO","Male","41","White"
"B17-41160","4","SUSP ACT IP","OFFICER REPORT","10/6/2017","23:49","1","INTOXICATED","NO","NO","SUSPECT","NO","NO","Male","41","White"
"B17-41667","4","WEAPONS IP","TELEPHONE","10/10/2017","20:25","1","NORMAL","YES","NO","ARRESTEE","NO","NO","Female","27","Black"
"B17-41936","5","SERVICE IP","TELEPHONE","10/12/2017","17:06","2","NORMAL","YES","NO","MENTIONED","NO","NO","Male","18","White"
"B17-42124","1","DISTURBANCE IP ","911 LINE","10/13/2017","19:47","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","49","White"
"B17-42307","5","DOMESTIC ","TELEPHONE","10/14/2017","18:07","2","MENTALLY DISTURBED","NO","NO","JUVENILE REFERRAL","NO","NO","Male","11","White"
"B17-42396","4","DOMESTIC IP","911 LINE","10/15/2017","2:08","1","NORMAL","NO","NO","ARRESTEE","NO","NO","Male","25","Black"
"B17-42615","4","FIGHT","OFFICER REPORT","10/16/2017","17:37","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","32","Black"
"B17-42814","4","TRAFFIC HAZARD","OFFICER REPORT","10/18/2017","2:36","1","INTOXICATED","YES","NO","ARRESTEE","NO","NO","Male","20","White"
"B17-42816","1","DISTURBANCE IP","911 LINE","10/18/2017","2:39","1","INTOXICATED","NO","NO","ARRESTEE","NO","NO","Male","24","Black"
"B17-42926","4","DISTURBANCE IP ","TELEPHONE","10/18/2017","18:59","1","MENTALLY DISTURBED","NO","NO","INVOLVED","NO","NO","Male","18","White"
"B17-43044","4","WELFARE CHK IP","911 LINE","10/19/2017","14:04","1","MENTALLY DISTURBED","NO","NO","ARRESTEE","NO","NO","Female","53","White"
"B17-43125","4","DISTURBANCE IP","TELEPHONE","10/20/2017","0:02","1","INTOXICATED","NO","YES","ARRESTEE","NO","YES","Female","19","White"
"B17-43135","1","BURGLARY NP","TELEPHONE","10/20/2017","1:39","1","NORMAL","NO","NO","JUVENILE REFERRAL","NO","NO","Male","16","White"
"B17-43383","4","SERVICE IP","TELEPHONE","10/21/2017","18:16","1","MENTALLY DISTURBED","NO","NO","INVOLVED","NO","NO","Male","49","White"
