"PIB File Number","Date","Disposition","Service Type","Force Type","Force Level","Officer Race","Officer Gender","Officer Age","Officers Yrs of Service","Subject Gender","Subject Race","Subject Age","Subject Injured","UOF Reason","Officer Injured","Number of Officers","Binning Number of Officers","Force.Type.Binning"
"FTN2018-0105","03/21/2018","Use Of Force Authorized","Call for Service","Force (Take Down) | Force (Take Down)","L2 | L2","Black | Black","Male | Male","53 | 22","20 | 4","Male","Asian","33","No","Flight from an Officer","No | No",2,"2","1"
"FTN2019-0085","03/03/2019","UOF Justified","Call for Service","CEW Deployment","L2","White","Male","45","13","Male","Black","24","Yes","refuse verbal commands","No",1,"1","2"
"FTN2019-0086","03/03/2019","UOF Justified With Training","Call for Service","CEW Deployment | Hands | Hands | Hands","L2 | L1 | L1 | L1","White | White | Black | Black","Male | Male | Male | Male","38 | 37 | 46 | 33","13 | 14 | 20 | 8","Male","Black","20","Yes","Resisting Lawful Arrest","No | No | No | No",4,"3+","2"
"FTN2019-0084","03/03/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","36","5","Male","Black","34","No","Weapon Exhibited","No",1,"1","1"
"FTN2019-0087","03/04/2019","UOF Justified","Arresting","Takedown (no injury)","L1","Asian/Pacifi","Male","25","5","Male","Black","22","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2019-0088","03/05/2019","UOF Not Justified","Call for Service","Rifle (Pointed) | Firearm (Discharged) | Rifle (Pointed)","L1 | L4 | L1","White | Black | Black","Male | Male | Male","46 | 32 | 30","21 | 11 | 11","Male","Black","63","No","Resisting Officer w/Weapon","No | No | No",3,"3+","3"
"FTN2019-0093","03/05/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","Black","Female","42","16","Male","Black","30","No","Weapon Exhibited","No",1,"1","1"
"FTN2019-0089","03/06/2019","UOF Justified","Call for Service","CEW Deployment | CEW Deployment","L2 | L2","White | Black","Male | Male","36 | 44","13 | 17","Male","Black","66","No","Weapon Exhibited","No | No",2,"2","2"
"FTN2019-0089","03/06/2019","UOF Justified","Call for Service","CEW Deployment | CEW Deployment","L2 | L2","White | Black","Male | Male","36 | 44","13 | 17","Male","Black","66","No","Weapon Exhibited","No | No",2,"2","2"
"FTN2019-0090","03/06/2019","UOF Justified","Call for Service","Force (Escort Tech)","L1","Black","Male","57","1","Male","White","29","No","refuse verbal commands","No",1,"1","2"
"FTN2019-0091","03/06/2019","UOF Justified","Call for Service","Hands | Hands","L1 | L1","White | White","Male | Male","28 | 26","3 | 3","Male","Black","22","No","refuse verbal commands","No | Yes",2,"2","1"
"FTN2019-0092","03/07/2019","UOF Justified","Arresting","Force (Take Down) | Force (Take Down)","L2 | L2","Black | Black","Male | Male","56 | 51","23 | 23","Male","Black",NA,"No","refuse verbal commands","No | No",2,"2","1"
"FTN2019-0095","03/10/2019","Pending","Arresting","Firearm (Exhibited)","L1","White","Male","38","17","Male","Black","42","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0097","03/11/2019","UOF Justified","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","White | White | Black","Male | Male | Male","39 | 36 | 23","14 | 4 | 4","Male","Black","32","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2019-0096","03/11/2019","UOF Justified","Arresting","Takedown (no injury) | Takedown (no injury)","L1 | L1","Black | White","Male | Male","47 | 51","24 | 29","Male","White","32","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2019-0100","03/14/2019","UOF Justified","Arresting","Takedown (w/injury)","L2","White","Male","51","23","Male","Black","16","Yes","Resisting Officer w/Weapon","Yes",1,"1","1"
"FTN2019-0099","03/14/2019","UOF Justified","Traffic Stop","Hands | Hands","L1 | L1","Black | White","Male | Male","42 | 35","14 | 5","Male","Black","19","No","Resisting Lawful Arrest","Yes | No",2,"2","1"
"FTN2019-0098","03/14/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","Black","Male","34","5","Male","White","30","No","Weapon Exhibited","No",1,"1","1"
"FTN2019-0101","03/16/2019","UOF Justified","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","Black | Black | American Ind","Female | Male | Male","32 | 35 | 25","4 | 3 | 3","Male","Black","47","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2019-0102","03/17/2019","UOF Justified","Arresting","Takedown (w/injury) | Hands","L2 | L1","White | White","Male | Female","36 | 26","13 | 3","Male","Black","34","Yes","Resisting Lawful Arrest","Yes | Yes",2,"2","1"
"FTN2019-0104","03/20/2019","UOF Justified","Call for Service","Firearm (Exhibited) | Takedown (no injury) | CEW Deployment","L1 | L1 | L2","Black | White | White","Female | Male | Male","36 | 34 | 34","16 | 2 | 2","Male | Male | Male","Black | Black | Black","41 | 43 | 22","Yes | Yes | Yes","Flight from an Officer","No | No | No",3,"3+","2"
"FTN2019-0105","03/20/2019","UOF Justified","Arresting","Takedown (no injury) | Takedown (no injury) | Takedown (no injury) | Takedown (no injury)","L1 | L1 | L1 | L1","White | Black | White | White","Male | Male | Male | Male","37 | 38 | 27 | 42","11 | 6 | 5 | 5","Male","Black","30","No","Resisting Lawful Arrest","No | No | No | No",4,"3+","1"
"FTN2019-0103","03/20/2019","UOF Justified","Call for Service","Takedown (no injury) | CEW Deployment","L1 | L2","White | White","Male | Male","43 | 43","4 | 4","Male","Black","44","Yes","Resisting Lawful Arrest","No | No",2,"2","2"
"FTN2019-0108","03/20/2019","UOF Not Justified","Traffic Stop","Vehicle as Weapon | Vehicle as Weapon | Vehicle as Weapon | Vehicle as Weapon | Vehicle as Weapon | Vehicle as Weapon","L4 | L4 | L4 | L4 | L4 | L4","Black | White | White | White | White | White","Male | Male | Male | Male | Male | Male","34 | 31 | 29 | 29 | 32 | 29","11 | 5 | 4 | 4 | 4 | 4","Male | Male | Female | Female | Female | Male | Female | Male","Black | Black | Black |  |  |  |  | ","15 | 66 | 55 |  |  |  |  | ","Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes","Flight from an Officer","No | No | No | No | No | No",6,"3+","3"
"FTN2019-0106","03/20/2019","UOF Justified With Training","Call for Service","Hands | Hands","L1 | L1","Black | White","Female | Male","33 | 60","13 | 38","Male","Black","23","Yes","Resisting Lawful Arrest","No | Yes",2,"2","1"
"FTN2019-0109","03/21/2019","Pending","Traffic Stop","Takedown (no injury)","L1","White","Male","26","5","Male","Black","29","No","Flight from an Officer","No",1,"1","1"
"FTN2019-0110","03/21/2019","UOF Justified","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | Black","Male | Male","41 | 30","11 | 11","Male | Male | Male | Male | Female","Black | Black | Black | Black | Black","20 | 36 | 43 | 42 | 19","No | No | No | No | No","Tactical Deployments","No | No",2,"2","1"
"FTN2019-0107","03/21/2019","UOF Justified With Training","Call for Service","Hands | Force (Defense Tech)","L1 | L2","Black | Black","Female | Female","36 | 36","12 | 12","Male","Hispanic","22","No","Escape","No | No",2,"2","1"
"FTN2019-0112","03/23/2019","UOF Justified With Policy Violation","Pedestrian Stop","Hands | Firearm (Exhibited) | Hands | Takedown (w/injury) | Hands","L1 | L1 | L1 | L2 | L1","Black | Black | Black | Black | Black","Male | Male | Male | Male | Male","38 | 23 | 23 | 23 | 32","8 | 4 | 4 | 4 | 4","Male","Black","29","Yes","refuse verbal commands","No | Yes | Yes | Yes | No",5,"3+","1"
"FTN2019-0111","03/23/2019","UOF Justified","Pedestrian Stop","Hands | Hands | Hands","L1 | L1 | L1","Black | White | White","Female | Male | Male","36 | 32 | 30","12 | 5 | 6","Male","Black","24","No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2019-0113","03/24/2019","UOF Justified","Traffic Stop","Firearm (Exhibited)","L1","Black","Male","49","23","Male","Black","26","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0114","03/24/2019","UOF Justified With Policy Violation","Call for Service","CEW Deployment","L2","White","Female","39","4","Male","Black","43","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2019-0115","03/25/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","27","5","Male","Black","25","No","Flight from an Officer","No",1,"1","1"
"FTN2019-0116","03/27/2019","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | White","Female | Male","48 | 23","17 | 2","Male","White","70","No","refuse verbal commands","No | No",2,"2","1"
"FTN2019-0118","03/27/2019","UOF Justified With Training","Call for Service","Hands","L1","Black","Female","42","16","Female | Male | Male","Black | Black | Black","13 | 12 | 11","No | No | No","Battery on Police Officer","Yes",1,"1","1"
"FTN2019-0119","03/27/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","White","Male","30","3","Male","Black","29","No","Weapon Exhibited","No",1,"1","1"
"FTN2019-0120","03/28/2019","UOF Justified With Training","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","33 | 31","5 | 5","Male | Male","Black | Black","17 | 17","No | No","Weapon Exhibited","No | No",2,"2","1"
"FTN2019-0121","03/28/2019","UOF Justified","Arresting","Takedown (w/injury)","L2","White","Male","41","11","Male","Black","35","Yes","Flight from an Officer","No",1,"1","1"
"FTN2019-0122","03/28/2019","UOF Justified","Pedestrian Stop","Hands | Hands","L1 | L1","Hispanic | White","Male | Male","39 | 30","9 | 3","Male","Black",NA,"Yes","refuse verbal commands","No | No",2,"2","1"
"FTN2019-0123","03/29/2019","UOF Justified","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | CEW Deployment","L1 | L1 | L2","White | Black | Black","Male | Male | Male","33 | 27 | 27","6 | 6 | 6","Male","Black","23","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2019-0124","03/30/2019","UOF Justified With Training","Call for Service","Takedown (w/injury)","L2","White","Male","26","3","Male | Male | Male","Black | Black | Black","17 | 16 | 18","Yes | Yes | Yes","Flight from an Officer","No",1,"1","1"
"FTN2019-0125","03/31/2019","UOF Justified With Training","Arresting","Takedown (no injury) | Firearm (Exhibited)","L1 | L1","White | Hispanic","Male | Male","48 | 27","12 | 4","Female | Female | Female | Male | Female | Male | Male | Male | Male","Black | Black | Black | Black | Black | Black | Black | Black | Black","38 | 18 | 21 | 12 | 13 | 15 | 17 | 21 | 16","No | No | No | No | No | No | No | No | No","Weapon Exhibited","No | No",2,"2","1"
"FTN2019-0126","03/31/2019","UOF Justified","Traffic Stop","Firearm (Exhibited)","L1","White","Male","53","14","Male","Black","27","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0127","03/31/2019","UOF Justified","Arresting","Hands | Hands","L1 | L1","Black | Black","Male | Male","39 | 40","17 | 16","Male","Black","24","No","Battery on Police Officer","No | No",2,"2","1"
"FTN2019-0128","04/01/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Male","52","14","Male | Male","Black | Black","43 | 41","No | No","room clearing","No",1,"1","1"
"FTN2019-0129","04/02/2019","UOF Justified","Call for Service","Hands","L1","Black","Male","26","4","Male","Black","43","No","Battery on Police Officer","No",1,"1","1"
"FTN2019-0130","04/03/2019","UOF Justified","Call for Service","Takedown (no injury) | Takedown (no injury)","L1 | L1","Black | White","Male | Male","34 | 32","6 | 3","Female","Black","37","No","Battery on Police Officer","Yes | No",2,"2","1"
"FTN2019-0132","04/04/2019","UOF Justified","Arresting","Takedown (w/injury)","L2","White","Male","32","12","Female","Black","47","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2019-0131","04/04/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Male","50","29","Male","White","50","No","Weapon Exhibited","No",1,"1","1"
"FTN2019-0133","04/05/2019","Pending","Call for Service","CEW","L4","Black","Male","32","13","Male","White","32","No","Flight from an Officer","No",1,"1","2"
"FTN2019-0134","04/05/2019","UOF Justified","Traffic Stop","Canine (No Bite)","L2","Black","Male","48","20","Male","Black","18","No","Flight from an Officer","No",1,"1","2"
"FTN2019-0135","04/06/2019","UOF Justified With Policy Violation","Call for Service","Takedown (no injury)","L1","White","Male","28","3","Male","Black","0","No","Flight from an Officer","No",1,"1","1"
"FTN2019-0136","04/07/2019","UOF Justified","Arresting","CEW Deployment | Takedown (w/injury)","L2 | L2","White | White","Female | Male","35 | 42","6 | 5","Male","White","26","Yes","Resisting Lawful Arrest","No | Yes",2,"2","2"
"FTN2019-0136","04/07/2019","UOF Justified","Arresting","CEW Deployment | Takedown (w/injury)","L2 | L2","White | White","Female | Male","35 | 42","6 | 5","Male","White","26","Yes","Resisting Lawful Arrest","No | Yes",2,"2","2"
"FTN2019-0137","04/07/2019","UOF Justified","Arresting","Force (Take Down) | Other | Force (Take Down)","L2 | L2 | L2","White | White | White","Male | Male | Male","32 | 29 | 28","6 | 6 | 5","Male","White","32","Yes","Battery on Police Officer","No | No | No",3,"3+","1"
"FTN2019-0138","04/08/2019","UOF Justified","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","White | Black | Black","Male | Female | Female","42 | 32 | 33","13 | 3 | 4","Female","White","40","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2019-0139","04/08/2019","UOF Justified","Arresting","Takedown (no injury) | Takedown (no injury)","L1 | L1","Black | White","Female | Male","34 | 45","11 | 13","Male","Black","57","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2019-0140","04/10/2019","UOF Justified","Arresting","Hands | Hands","L1 | L1","White | White","Male | Male","49 | 42","12 | 11","Female","Black","18","No","Battery on Police Officer","No | No",2,"2","1"
"FTN2019-0141","04/11/2019","UOF Justified With Training","Call for Service","Hands","L1","Black","Male","35","5","Male","Black","18","No","Battery on Police Officer","No",1,"1","1"
"FTN2019-0142","04/11/2019","UOF Justified","Call for Service","Takedown (no injury) | Firearm (Exhibited)","L1 | L1","Hispanic | Black","Male | Male","36 | 32","5 | 4","Male","Black","19","No","refuse verbal commands","Yes | No",2,"2","1"
"FTN2019-0144","04/13/2019","UOF Justified","Pedestrian Stop","Takedown (no injury)","L1","White","Male","47","22","Female","Black","21","No","Battery on Police Officer","Yes",1,"1","1"
"FTN2019-0143","04/13/2019","UOF Justified","Arresting","Force (Take Down) | Force (Take Down) | Force (Take Down) | Force (Take Down) | Force (Take Down) | Force (Take Down)","L2 | L2 | L2 | L2 | L2 | L2","White | White | White | White | White | White","Male | Male | Male | Male | Male | Male","35 | 37 | 32 | 29 | 28 | 42","13 | 11 | 6 | 6 | 5 | 5","Male","Black","22","Yes","Resisting Lawful Arrest","No | No | No | No | No | No",6,"3+","1"
"FTN2019-0145","04/14/2019","UOF Justified With Policy Violation","Call for Service","Hands | Hands","L1 | L1","Black | Black","Male | Male","25 | 33","3 | 3","Male","Black","30","Yes","refuse verbal commands","No | No",2,"2","1"
"FTN2019-0146","04/14/2019","UOF Justified","Call for Service","Hands | Hands | Takedown (w/injury)","L1 | L1 | L2","White | White | White","Female | Male | Male","32 | 37 | 37","3 | 3 | 3","Male","Hispanic","35","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2019-0148","04/14/2019","UOF Justified With Training","Arresting","Hands","L1","White","Male","40","14","Male","Black","19","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2019-0147","04/14/2019","UOF Justified","Call for Service","Takedown (no injury)","L1","White","Male","37","3","Male","Hispanic","35","No","Escape","No",1,"1","1"
"FTN2019-0149","04/16/2019","UOF Justified","Arresting","Baton/PR-24(NonStrk)","L2","Asian/Pacifi","Male","33","12","Male","White","26","Yes","Resisting Lawful Arrest","No",1,"1","2"
"FTN2019-0150","04/17/2019","UOF Justified With Policy Violation","Arresting","Hands | Hands","L1 | L1","White | Hispanic","Male | Male","27 | 27","5 | 4","Male","Black","35","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2019-0151","04/20/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","40","8","Male","Black","51","No","Room clearing","No",1,"1","1"
"FTN2019-0152","04/21/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","40","8","Male","Black","24","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0153","04/22/2019","UOF Justified","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","31 | 30","6 | 4","Male | Male","Black | Black","42 | 39","No | No","Flight from an Officer","No | No",2,"2","1"
"FTN2019-0156","04/24/2019","UOF Justified","Arresting","Firearm (Exhibited) | Takedown (no injury)","L1 | L1","Hispanic | Black","Male | Male","26 | 30","4 | 2","Male","Black","18","No","Tactical Deployments","No | No",2,"2","1"
"FTN2019-0157","04/24/2019","UOF Justified With Policy Violation","Call for Service","Firearm (Exhibited)","L1","Black","Male","45","14","Male","Black","31","No","Flight from an Officer","No",1,"1","1"
"FTN2019-0155","04/24/2019","UOF Justified","Call for Service","Hands | Hands","L1 | L1","White | Black","Male | Male","40 | 51","13 | 23","Female","White","25","Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2019-0158","04/25/2019","UOF Justified With Training","Call for Service","Takedown (no injury)","L1","White","Male","28","3","Male","Black","34","No","Flight from an Officer","No",1,"1","1"
"FTN2019-0159","04/26/2019","UOF Justified","Call for Service","CEW Exhibited/Laser | Hands | Takedown (w/injury)","L1 | L1 | L2","Black | Black | Black","Male | Male | Male","44 | 44 | 44","18 | 18 | 18","Male","White","54","Yes","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2019-0160","04/27/2019","UOF Justified",NA,"Firearm (Exhibited)","L1","Black","Male","36","12","Male","Black","24","No","Resisting Officer w/Weapon","No",1,"1","1"
"FTN2019-0161","04/27/2019","UOF Justified","Traffic Stop","Takedown (no injury) | Takedown (no injury) | Takedown (no injury)","L1 | L1 | L1","White | Black | White","Male | Male | Male","34 | 50 | 23","13 | 12 | 3","Female","Black","40","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2019-0162","04/28/2019","UOF Justified","Call for Service","Takedown (no injury)","L1","Black","Male","23","3","Female","Black","20","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2019-0164","04/30/2019","UOF Justified","Serving a Warrant","Firearm (Exhibited) | Rifle (Pointed) | Firearm (Exhibited) | Takedown (w/injury) | Firearm (Exhibited)","L1 | L1 | L1 | L2 | L1","White | White | Black | Black | Black","Male | Male | Male | Male | Male","49 | 42 | 40 | 40 | 30","12 | 11 | 16 | 16 | 4","Male | Female | Female | Female | Female","Black | Black | Black | Black | Black","23 | 51 | 14 | 8 | 74","Yes | Yes | Yes | Yes | Yes","Resisting Lawful Arrest","No | No | No | No | No",5,"3+","1"
"FTN2019-0163","04/30/2019","UOF Justified","Pedestrian Stop","Force (Escort Tech) | Force (Take Down)","L1 | L2","White | White","Male | Male","42 | 31","4 | 4","Male","Black","27","Yes","Flight from an Officer","No | No",2,"2","2"
"FTN2019-0165","05/01/2019","UOF Justified With Training","Traffic Stop","CEW Deployment","L2","Black","Female","32","7","Male","Black","31","No","Flight from an Officer","No",1,"1","2"
"FTN2019-0166","05/02/2019","UOF Justified","Arresting","Force (Take Down) | Takedown (w/injury)","L2 | L2","Hispanic | White","Male | Male","54 | 42","13 | 22","Male","White","35","Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2019-0167","05/03/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","White","Female","31","8","Male","Black","11","No","Weapon Exhibited","No",1,"1","1"
"FTN2019-0168","05/05/2019","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | Black","Male | Male","44 | 32","17 | 8","Male","Black","29","No","Weapon Exhibited","No | No",2,"2","1"
"FTN2019-0169","05/07/2019","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Black | Black | Black","Male | Female | Female","37 | 51 | 36","13 | 20 | 5","Male","Black","16","No","Weapon Exhibited","No | No | No",3,"3+","1"
"FTN2019-0169","05/07/2019","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Black | Black | Black","Male | Female | Female","37 | 51 | 36","13 | 20 | 5","Male","Black","16","No","Weapon Exhibited","No | No | No",3,"3+","1"
"FTN2019-0170","05/08/2019","UOF Not Justified","Traffic Stop","Firearm (Exhibited)","L1","Hispanic","Male","34","3","Male","Black",NA,"No","refuse verbal commands","No",1,"1","1"
"FTN2019-0171","05/09/2019","UOF Justified","Call for Service","Hands | Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1 | L1","Black | Black | White | Black | Black","Female | Male | Male | Female | Male","45 | 31 | 35 | 27 | 23","21 | 5 | 4 | 4 | 3","Male","Black","46","No","Resisting Lawful Arrest","No | No | Yes | No | No",5,"3+","1"
"FTN2019-0172","05/10/2019","UOF Justified","Pedestrian Stop","Hands | Hands | Takedown (no injury)","L1 | L1 | L1","White | White | White","Male | Male | Male","43 | 42 | 42","7 | 4 | 4","Male","Black","21","No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2019-0173","05/10/2019","UOF Justified","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","38 | 28","5 | 4","Male | Male","Black | Black","18 | 17","No | No","Flight from an Officer","No | No",2,"2","1"
"FTN2019-0174","05/11/2019","UOF Not Justified","Call for Service","CEW Deployment | Firearm (Exhibited)","L2 | L1","White | White","Female | Male","44 | 27","13 | 3","Male","Black",NA,"No","Flight from an Officer","No | No",2,"2","2"
"FTN2019-0175","05/11/2019","UOF Justified With Training","Arresting","Firearm (Exhibited)","L1","White","Female","35","7","Male","Black","22","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0176","05/11/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","40","14","Male","Black","0","No","Weapon Exhibited","No",1,"1","1"
"FTN2019-0178","05/12/2019","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1 | L1 | L1","White | Black | Black | White | White | Black","Male | Female | Male | Male | Male | Male","43 | 31 | 25 | 57 | 27 | 27","19 | 4 | 3 | 3 | 3 | 3","Female | Female | Female","Black | Black | Black","34 | 38 | 37","No | No | No","Felony Stop","No | No | No | No | No | No",6,"3+","1"
"FTN2019-0177","05/12/2019","UOF Justified","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Takedown (no injury)","L1 | L1 | L1 | L1","White | Black | White | Not Specifie","Male | Male | Male | Male","41 | 30 | 49 | 30","14 | 11 | 26 | 6","Male | Male | Male","Black | Black | Black","32 | 23 | 26","No | No | No","Tactical Deployments","No | No | No | No",4,"3+","1"
"FTN2019-0179","05/15/2019","UOF Justified","Call for Service","CEW Deployment","L2","White","Male","36","13","Male","Black","41","No","refuse verbal commands","No",1,"1","2"
"FTN2019-0180","05/17/2019","UOF Justified","Call for Service","Firearm (Discharged) | Firearm (Discharged) | Firearm (Discharged)","L4 | L4 | L4","Asian/Pacifi | White | Black","Male | Male | Male","25 | 28 | 49","5 | 4 | 4","Male","Black","40","Yes","Weapon Discharged","No | No | No",3,"3+","3"
"FTN2019-0181","05/18/2019","UOF Justified","Pedestrian Stop","Takedown (no injury)","L1","White","Male","26","6","Male","Black","16","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2019-0187","05/18/2019","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Hispanic","Male | Male","42 | 34","23 | 4","Male","Black","15","No","Flight from an Officer","No | No",2,"2","1"
"FTN2019-0183","05/18/2019","UOF Justified","Pedestrian Stop","Firearm (Exhibited) | Hands","L1 | L1","Black | White","Male | Male","36 | 26","2 | 4","Male | Male","Indian | Black","32 | 34","No | No","Flight from an Officer","No | No",2,"2","1"
"FTN2019-0182","05/19/2019","UOF Justified","Call for Service","Takedown (no injury)","L1","White","Male","35","12","Female","White",NA,"No","refuse verbal commands","No",1,"1","1"
"FTN2019-0184","05/19/2019","UOF Justified","Arresting","CEW Deployment","L2","White","Male",NA,"7","Male","Black","0","No","Battery on Police Officer","No",1,"1","2"
"FTN2019-0185","05/20/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","Black","Male","42","14","Male","Black","21","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0186","05/21/2019","UOF Justified","Arresting","Force (Take Down) | Head Strike (No Wep) | Force (Take Down)","L2 | L3 | L2","White | White | White","Male | Male | Male","32 | 29 | 28","6 | 6 | 5","Male","Black","30","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2019-0188","05/24/2019","UOF Justified","Arresting","CEW Deployment","L2","White","Female","36","3","Male","Black","49","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2019-0189","05/24/2019","UOF Justified With Policy Violation","Call for Service","Takedown (no injury)","L1","Black","Male","23","4","Male","Black","45","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0190","05/25/2019","UOF Justified","Traffic Stop","Force (Take Down)","L2","White","Male","33","6","Female","Black","23","Yes","Flight from an Officer","Yes",1,"1","1"
"FTN2019-0191","05/26/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","44","12","Male","Black",NA,"No","refuse verbal commands","No",1,"1","1"
"FTN2019-0192","05/26/2019","UOF Justified","Serving a Warrant","Rifle (Pointed)","L1","Asian/Pacifi","Male","34","14","Male","Black","28","No","Tactical Deployments","No",1,"1","1"
"FTN2019-0193","05/30/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","Black","Male","35","5","Male","Black","18","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2019-0196","05/31/2019","UOF Justified","Arresting","Takedown (w/injury) | Hands","L2 | L1","White | White","Male | Male","29 | 28","6 | 5","Male","White","26","Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2019-0195","05/31/2019","UOF Justified","Call for Service","Force (Take Down) | Force (Take Down)","L2 | L2","White | White","Male | Male","25 | 57","4 | 3","Male","Black","25","No","Resisting Lawful Arrest","No | Yes",2,"2","1"
"FTN2019-0194","05/31/2019","UOF Justified With Training","Transport","Takedown (no injury)","L1","Black","Female","36","5","Female","Black","29","No","Escape","Yes",1,"1","1"
"FTN2019-0197","06/02/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","White","Male","35","5","Male","Black","22","No","Flight from an Officer","No",1,"1","1"
"FTN2019-0198","06/03/2019","UOF Justified","Arresting","Hands | Takedown (w/injury) | Hands","L1 | L2 | L1","White | White | White","Male | Male | Female","35 | 27 | 26","11 | 3 | 3","Male","White","33","Yes","Resisting Lawful Arrest","Yes | No | Yes",3,"3+","1"
"FTN2019-0199","06/05/2019","UOF Justified","Traffic Stop","Takedown (no injury)","L1","Black","Male","40","16","Male","Black","45","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0204","06/08/2019","UOF Justified","Arresting","Hands","L1","White","Male","32","5","Male","Black","31","No","Battery on Police Officer","No",1,"1","1"
"FTN2019-0200","06/09/2019","UOF Justified","Call for Service","Takedown (no injury)","L1","White","Male","31","3","Male","Black","26","No","refuse verbal commands","No",1,"1","1"
"FTN2019-0202","06/09/2019","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","32","5","Male","Black","21","No",NA,"No",1,"1","1"
"FTN2019-0201","06/10/2019","UOF Justified","Arresting","Firearm (Exhibited)","L1","Hispanic","Male","37","3","Male","Black","16","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2019-0203","06/10/2019","UOF Justified","Arresting","Hands | Force (Escort Tech) | Hands","L1 | L1 | L1","White | Black | White","Male | Male | Male","35 | 51 | 32","11 | 30 | 6","Male",NA,NA,"Yes","Resisting Lawful Arrest","No | No | No",3,"3+","2"
